"The","nt ","ng ","he "," th","ent","ion"," of","ed ","in "," an","d t","the","for"," to","on ","ing","tio","ati","d i","n t","of ","nd ","and"," in","er ","to ","an "," co","es ","e a","s, ","al "," fo"," wa"," wh","re ","s a","as "," Th"," a "," is","ter","th ","or ","s. ","is "," re","was","d a"," on","ers","at "," by","n a","ted","qualityClass"
32,42,104,312,337,58,74,155,198,112,142,111,301,51,124,105,144,63,41,23,68,126,148,177,84,82,116,35,68,77,41,37,38,60,55,48,46,46,83,31,114,19,52,51,36,31,64,68,46,48,79,20,76,16,29,58,6
20,3,53,121,157,13,37,29,80,23,29,34,144,13,43,39,65,27,33,6,8,35,49,46,30,36,40,14,22,18,16,5,25,13,30,20,23,11,20,24,14,4,42,26,18,11,25,21,25,19,16,15,27,7,14,20,6
1,2,5,39,27,4,5,15,35,10,13,6,40,5,13,8,13,4,2,1,6,16,20,19,15,10,10,5,7,1,3,6,3,1,11,4,6,8,7,4,3,0,8,5,3,5,0,10,5,8,4,3,2,0,2,5,6
10,21,50,102,138,18,37,45,77,17,51,28,139,16,24,39,40,11,8,9,12,38,49,37,22,30,24,26,14,23,14,7,10,17,11,4,15,12,22,13,22,1,8,23,10,9,13,15,7,11,16,9,13,6,13,11,6
23,53,112,206,257,77,100,144,221,102,159,73,240,48,114,72,116,69,55,33,32,134,151,153,117,106,109,40,70,86,36,49,93,51,41,22,63,61,37,36,55,8,70,32,40,38,18,141,17,44,35,31,34,30,27,88,6
27,20,28,116,91,34,24,41,60,39,49,35,98,17,43,31,18,25,22,14,24,46,51,41,44,44,35,22,29,12,15,6,14,17,30,16,20,21,34,23,32,1,17,21,36,6,8,36,30,11,8,6,22,7,6,27,6
18,5,11,53,44,6,11,19,22,12,16,12,39,6,16,13,5,10,3,3,12,20,14,6,19,13,11,16,4,4,6,3,3,3,4,1,4,10,10,7,11,9,3,6,5,2,7,12,11,12,6,4,4,7,9,7,6
12,38,32,106,105,48,42,37,53,22,36,20,116,23,20,32,34,28,16,11,21,50,38,48,31,31,38,20,24,21,6,16,14,29,3,5,8,20,29,11,22,9,14,13,20,6,13,26,3,9,16,16,19,13,13,26,6
68,32,77,378,414,108,47,204,180,116,150,68,361,33,79,68,89,39,22,34,78,191,136,149,129,90,82,42,70,58,47,49,48,38,69,46,97,88,111,79,99,57,72,91,55,42,100,59,74,47,33,16,51,50,39,42,6
6,19,32,79,95,15,21,50,48,21,23,17,107,11,30,29,46,12,8,9,19,55,23,44,19,39,24,14,20,14,9,3,15,14,24,7,10,17,21,7,17,0,5,2,12,4,5,22,18,7,13,6,19,3,8,11,6
2,1,13,57,55,2,10,16,65,8,21,19,51,12,15,18,21,0,0,15,7,18,23,21,11,17,10,8,6,7,5,6,28,3,9,5,13,5,17,2,14,3,10,10,5,3,1,11,7,4,11,1,12,1,4,12,6
16,11,38,129,158,25,46,67,71,23,50,33,153,26,62,37,49,15,9,6,20,61,46,42,33,37,47,46,32,21,14,12,13,30,24,12,26,22,30,13,22,0,20,44,15,11,3,26,19,20,22,14,6,7,20,9,6
58,27,52,314,307,52,55,119,110,90,145,53,288,25,44,66,49,34,52,23,69,95,108,113,102,49,67,38,35,44,28,36,32,27,25,27,59,50,51,54,34,23,47,43,24,34,48,42,15,23,18,15,27,24,18,35,6
2,1,6,15,24,5,3,13,8,7,8,2,13,2,7,9,11,2,0,2,5,9,10,4,5,3,6,0,3,3,2,3,0,0,2,0,2,3,9,2,5,3,9,0,2,2,0,6,6,2,3,9,0,1,2,4,6
9,0,8,27,16,4,6,9,16,15,9,4,21,10,8,16,4,2,4,0,5,10,9,7,8,11,8,6,3,2,2,1,5,14,5,4,4,2,7,6,4,1,5,7,8,6,8,2,5,0,3,1,1,3,1,2,6
50,30,120,267,283,76,66,106,162,78,138,53,248,58,80,152,166,42,37,19,64,109,111,121,126,93,86,53,47,93,32,53,53,57,40,53,46,66,88,39,96,36,74,81,64,32,47,75,34,28,51,38,53,21,32,47,6
7,3,18,66,59,17,26,33,38,13,14,15,65,10,14,27,18,11,13,7,10,29,16,11,28,14,12,11,10,6,7,2,6,5,14,3,9,5,12,8,18,0,6,5,8,2,3,13,12,4,5,2,7,6,7,5,6
37,27,108,407,407,67,68,140,191,100,118,94,366,67,91,71,110,69,27,27,68,140,119,113,122,59,79,35,54,48,38,44,46,76,60,30,58,61,88,37,64,4,35,32,34,28,50,65,53,46,28,52,24,37,25,37,6
14,5,16,87,81,8,11,27,33,14,14,24,77,16,14,17,9,12,6,7,14,31,24,22,20,14,24,9,11,9,8,6,12,8,19,9,18,10,11,9,17,1,11,10,7,6,6,13,6,5,14,12,8,8,8,10,6
8,20,36,95,115,26,26,38,73,54,52,26,92,14,31,30,35,31,14,21,20,44,59,46,70,28,38,20,20,20,12,15,17,14,20,26,20,38,38,9,26,4,26,22,13,14,34,26,27,17,8,12,28,13,13,20,6
15,14,48,115,88,19,18,38,111,46,53,31,110,20,52,48,51,14,16,18,21,40,52,59,44,59,45,26,33,16,20,21,22,24,43,13,21,37,52,23,43,4,30,24,23,13,58,33,37,24,31,15,28,10,27,20,6
23,31,54,216,244,34,26,76,94,46,58,38,209,19,62,41,53,17,12,9,42,66,65,62,51,48,55,43,39,22,22,18,22,22,26,17,36,20,27,24,16,2,29,29,10,10,13,24,31,15,14,12,29,20,10,24,6
16,10,35,101,88,18,18,25,40,22,17,16,65,17,21,13,33,15,3,4,16,23,29,31,30,35,23,12,15,19,12,6,8,12,26,4,10,12,21,12,26,11,19,12,10,11,18,12,14,7,16,17,19,5,10,10,6
2,3,3,25,17,0,14,12,7,9,11,4,16,9,6,13,9,15,10,4,7,7,7,13,6,6,2,6,11,7,10,7,4,4,0,3,7,8,8,5,12,10,1,4,2,5,9,8,0,3,3,2,3,0,1,2,6
8,2,18,40,40,15,14,15,25,14,18,7,49,6,5,17,14,8,10,4,9,19,26,30,19,13,6,11,7,15,7,4,7,5,7,2,10,13,17,5,8,1,5,1,14,10,1,7,8,7,7,7,5,5,3,3,6
6,3,20,41,59,8,16,26,52,26,24,8,34,4,20,13,29,11,8,10,12,23,24,29,32,15,14,9,8,16,4,6,26,3,14,9,16,11,21,5,14,4,15,7,5,6,4,12,13,11,11,2,13,2,4,8,6
2,2,17,39,55,6,9,22,32,19,22,11,40,5,19,15,21,3,1,1,7,18,26,28,24,9,15,15,18,14,5,8,4,8,7,5,12,10,14,9,14,1,10,10,7,1,13,8,9,9,9,6,20,6,10,9,6
17,7,20,109,103,16,24,39,63,22,37,17,90,35,24,24,23,19,15,11,14,23,34,40,27,10,23,17,22,14,4,26,10,40,14,3,25,11,32,21,11,6,19,18,5,17,11,23,22,9,6,8,5,11,7,23,6
9,42,42,115,142,68,61,59,84,54,69,33,106,14,42,63,65,61,57,21,14,50,66,67,69,35,40,19,45,24,22,25,27,32,26,14,17,26,46,19,31,5,19,11,28,16,18,59,26,17,15,21,31,13,8,26,6
32,30,37,163,191,40,25,73,91,41,48,37,166,20,41,34,43,12,6,14,30,59,46,54,42,28,47,14,21,22,21,17,14,23,21,8,16,17,30,18,19,0,15,46,17,15,10,45,22,18,23,10,20,7,14,9,6
2,2,2,23,11,4,3,5,4,3,10,2,17,2,4,6,7,5,8,0,4,6,9,15,6,1,6,2,5,6,2,0,7,2,3,3,2,7,0,4,8,5,2,1,7,2,3,2,0,1,2,2,0,2,1,2,6
17,30,57,125,151,74,69,62,111,54,86,41,157,22,72,75,67,54,28,23,32,78,90,89,84,80,49,40,31,22,27,37,37,26,30,28,23,26,36,10,26,13,35,35,29,12,13,19,23,19,22,23,30,10,27,28,6
7,6,22,22,52,19,34,29,27,13,21,9,29,14,17,24,16,31,19,7,7,20,20,19,36,13,10,8,7,17,8,3,15,7,3,4,6,13,9,14,10,9,13,7,8,6,28,16,2,0,7,5,14,9,9,14,6
13,9,28,112,124,23,25,34,77,38,48,40,118,23,56,30,34,8,13,5,21,54,49,50,38,28,38,34,25,33,20,31,9,22,23,18,18,17,35,10,34,3,11,9,15,10,18,31,21,18,7,11,12,14,15,12,6
18,13,32,119,101,29,31,24,82,15,39,28,109,22,24,33,34,25,21,3,10,26,40,20,29,25,32,12,37,11,16,7,20,16,15,4,11,5,19,17,26,3,24,12,19,12,1,25,10,19,18,4,18,3,6,21,6
10,14,36,90,109,20,14,35,74,26,46,37,99,31,76,12,39,13,8,10,19,46,51,92,32,25,53,25,29,16,12,10,13,29,31,27,25,22,28,16,11,4,13,19,18,13,38,32,18,22,10,4,26,11,14,11,6
20,13,27,117,111,18,31,71,46,32,53,12,113,17,22,24,26,40,26,10,25,64,67,49,34,25,13,15,25,39,26,11,27,21,5,12,22,42,21,13,11,14,19,14,8,9,25,15,2,11,6,10,14,8,17,9,6
12,13,11,57,63,30,25,38,21,20,25,10,56,3,11,16,11,15,17,3,6,32,18,25,20,15,26,11,8,29,8,6,11,11,6,0,11,13,7,13,10,15,4,7,14,7,13,9,1,4,5,7,2,6,4,11,6
7,6,12,85,80,16,4,25,58,19,29,25,70,13,32,15,15,6,4,7,9,29,26,34,22,23,24,8,13,7,12,18,4,13,12,17,11,19,26,11,12,1,14,7,6,5,11,26,17,9,6,5,6,6,3,8,6
7,5,25,66,100,14,13,31,41,21,27,18,74,28,23,18,33,8,8,5,11,32,29,25,24,16,26,23,7,16,6,12,5,14,19,5,11,19,16,5,4,0,7,15,4,5,3,23,4,10,6,5,6,5,10,6,6
0,2,7,19,28,9,8,22,14,1,5,2,20,3,9,9,5,3,3,1,2,21,10,17,6,8,5,8,10,12,3,1,4,4,0,0,3,2,2,2,5,1,4,3,7,1,3,8,0,1,3,3,2,4,2,2,6
12,7,35,82,93,28,46,34,88,15,32,27,68,16,37,25,36,24,29,14,12,30,24,30,30,22,38,11,34,30,28,11,9,10,14,15,25,24,27,14,25,7,17,7,24,15,19,39,7,12,12,20,21,9,8,20,6
33,25,72,185,222,43,69,100,126,47,69,57,192,32,63,58,94,83,34,13,49,81,71,102,83,70,69,24,44,46,29,33,44,28,57,25,70,30,50,19,30,6,53,21,35,32,6,56,28,23,36,19,42,11,18,30,6
12,7,30,107,104,16,19,41,82,25,38,25,108,20,27,28,26,16,6,8,20,50,32,30,30,17,29,7,17,8,15,9,18,17,26,5,21,14,26,25,19,3,9,10,10,10,15,18,20,13,6,12,13,6,11,15,6
13,17,44,153,153,25,52,47,74,36,65,26,154,20,57,29,47,45,17,14,31,42,63,75,45,36,57,24,35,28,10,13,37,25,31,7,26,20,36,21,16,16,18,23,29,11,10,22,16,16,19,6,26,4,6,19,6
11,16,14,54,61,15,7,29,41,21,14,18,41,12,16,15,11,9,4,3,9,15,22,17,17,17,13,12,7,13,2,2,6,12,15,2,9,7,16,3,13,1,10,6,7,6,2,9,6,13,8,9,10,7,4,10,6
2,1,7,12,26,6,3,18,7,6,9,5,21,2,6,6,9,3,2,1,1,17,11,10,11,5,3,7,1,20,1,1,1,2,12,3,0,6,10,1,2,1,5,3,0,2,13,2,4,2,1,0,2,0,3,2,6
4,17,5,11,23,8,11,20,6,4,8,3,12,3,5,7,3,4,2,0,4,18,11,9,4,2,5,3,2,7,0,3,4,1,0,1,9,5,2,2,4,6,5,2,6,1,3,0,1,2,1,2,1,0,1,5,6
19,46,116,291,344,61,60,128,165,82,134,107,296,47,121,78,102,56,36,12,48,105,145,118,105,68,133,38,108,27,59,30,60,53,68,34,49,63,101,35,64,5,47,43,43,23,47,65,60,38,26,51,87,16,31,50,6
11,12,32,98,124,30,49,47,55,26,49,14,98,25,23,28,25,31,29,5,15,40,46,48,42,22,31,26,29,11,9,13,9,16,13,8,13,14,13,12,5,0,26,18,5,11,8,12,16,8,11,14,5,13,14,14,6
2,4,11,23,22,7,8,8,11,5,9,4,25,5,18,10,13,4,8,2,3,15,10,10,3,5,11,4,7,12,6,2,8,4,1,5,11,9,9,5,10,7,5,3,10,3,11,7,1,6,1,8,2,2,4,3,6
15,9,15,63,87,16,52,42,28,12,27,6,78,7,8,28,26,40,35,12,14,48,19,15,29,38,7,12,17,15,18,12,20,17,2,4,15,23,21,23,24,20,1,5,11,6,37,8,0,7,5,8,11,4,17,9,6
10,9,11,59,68,18,15,27,24,18,10,9,78,5,19,20,18,8,8,6,5,32,16,20,42,22,16,6,10,13,13,4,18,19,11,5,7,15,16,18,17,9,14,11,11,1,19,19,12,4,5,4,15,7,5,7,6
12,17,34,161,161,34,60,60,77,35,50,34,124,27,40,24,30,29,14,8,24,48,48,60,43,37,33,19,24,27,26,14,29,27,12,7,33,23,20,12,24,7,14,14,27,12,16,35,7,17,9,14,18,12,13,28,6
3,11,23,99,84,21,46,41,24,17,33,17,77,28,15,33,38,25,19,4,19,33,35,30,22,24,19,47,14,12,11,6,23,23,11,3,6,19,21,4,18,5,3,4,25,5,9,14,7,9,10,7,11,2,14,7,6
5,8,31,119,102,19,28,24,47,52,43,27,95,11,41,31,50,14,11,4,23,24,35,38,59,59,22,16,28,15,7,8,13,19,14,5,11,16,22,6,22,5,14,26,21,3,6,16,11,12,16,9,29,8,11,10,6
14,12,23,70,49,25,21,36,19,13,27,10,38,9,12,18,18,15,13,10,8,25,27,28,28,14,8,5,8,11,7,15,11,4,5,2,8,17,14,10,10,11,12,15,7,20,12,7,3,4,3,28,0,4,10,8,6
5,5,24,74,68,21,24,27,32,13,23,23,74,4,22,16,23,11,11,0,11,26,32,27,22,47,22,10,11,18,6,6,7,11,10,5,6,10,16,8,12,8,18,9,6,3,24,14,6,8,9,10,13,1,3,1,6
14,6,51,103,111,16,32,50,56,19,51,39,130,14,26,31,33,29,19,6,16,38,55,52,40,35,24,36,25,12,15,12,18,22,17,14,19,12,31,13,21,3,20,11,11,7,3,22,16,25,20,7,12,16,15,17,6
6,6,33,93,101,18,8,46,50,19,56,30,80,13,45,20,29,7,6,5,13,26,42,42,31,17,36,26,14,12,14,18,2,17,21,15,10,25,25,7,12,1,10,17,6,9,13,15,12,12,11,5,19,9,11,4,6
16,14,41,99,108,24,24,47,91,38,45,27,103,16,45,40,46,20,13,11,25,44,37,68,69,43,40,18,16,22,8,13,18,17,25,7,33,21,27,19,21,14,24,21,10,21,2,27,12,25,16,5,11,17,8,31,6
27,38,52,175,229,59,143,88,120,36,72,55,174,27,74,97,49,82,65,21,36,97,75,78,75,44,90,16,44,26,43,18,38,36,16,6,45,36,38,25,34,14,35,14,42,23,22,51,11,18,35,28,38,15,17,39,6
2,7,31,39,50,7,6,24,37,20,16,10,45,4,13,14,22,7,6,3,6,17,18,18,16,14,18,13,12,1,16,4,11,14,18,1,0,8,20,1,11,0,11,4,3,1,7,4,8,7,13,10,13,3,4,7,6
11,12,27,61,70,16,19,25,38,13,28,4,58,11,12,17,31,18,8,10,16,21,25,23,30,22,12,7,13,8,8,5,6,11,3,4,6,19,17,8,23,8,18,12,9,3,26,13,5,7,6,8,4,5,8,5,6
13,6,12,56,59,5,18,45,23,21,34,8,48,5,17,21,27,5,22,6,13,34,30,35,29,10,19,7,20,16,4,10,15,8,3,4,19,16,23,21,13,10,8,8,9,9,27,4,8,4,6,6,6,8,5,8,6
27,10,43,142,180,17,21,74,49,50,63,30,184,18,46,26,54,6,13,8,14,75,66,95,54,42,47,13,19,62,27,19,22,25,14,15,37,29,36,13,17,16,18,20,23,12,26,25,14,16,7,10,24,13,11,19,6
7,7,23,88,99,10,25,48,41,18,26,25,89,29,24,48,48,18,10,9,12,41,42,37,24,33,30,5,18,9,8,17,13,28,17,8,12,14,20,6,20,3,15,8,5,7,2,10,10,9,4,8,14,9,10,7,6
9,3,20,59,36,10,8,20,18,14,24,11,41,1,15,15,14,4,1,8,12,19,20,11,12,11,14,4,9,7,7,3,1,7,4,8,3,10,14,10,20,5,9,5,1,3,7,8,5,12,9,9,6,8,7,6,6
15,8,35,143,153,11,54,69,73,40,33,35,148,41,38,52,34,27,24,8,20,55,62,56,42,32,30,18,44,25,14,14,15,26,29,10,24,25,30,16,18,4,23,46,22,11,7,32,27,15,19,14,17,9,11,18,6
8,11,28,36,38,21,43,34,35,31,40,11,36,7,21,37,31,38,22,11,16,40,36,31,49,11,22,5,12,26,8,7,21,12,1,4,11,18,11,7,19,20,15,10,17,12,18,22,0,7,5,2,6,8,10,12,6
20,17,61,164,190,48,24,68,128,49,102,47,163,17,57,37,69,17,8,22,28,59,83,97,70,56,56,16,43,67,24,29,20,26,51,20,83,36,39,15,30,2,18,37,41,30,11,25,36,31,13,25,13,25,13,24,6
30,26,40,162,159,28,38,61,113,53,66,43,159,28,42,61,46,22,19,21,32,78,51,62,69,36,34,14,36,29,18,14,19,22,39,11,36,27,42,35,19,0,14,30,33,18,7,14,40,20,17,18,16,12,13,21,6
2,3,6,45,28,4,5,14,27,13,11,12,34,5,8,8,7,5,0,2,11,16,16,13,9,15,10,11,11,7,6,2,2,8,15,10,3,6,16,3,4,0,6,3,3,4,1,7,8,3,3,1,8,2,3,4,6
29,26,46,152,160,41,58,78,115,33,75,41,144,12,65,32,47,36,22,24,22,56,47,48,73,47,41,25,45,27,30,3,24,14,37,10,23,22,43,29,40,15,54,25,20,17,22,25,29,20,16,9,31,6,10,31,6
6,4,5,35,35,5,3,23,11,6,11,2,31,3,5,7,5,4,4,5,0,17,13,4,4,10,2,2,3,5,3,1,3,6,6,1,3,5,7,4,5,1,1,2,2,4,4,7,1,2,6,4,1,3,3,5,6
11,0,2,23,23,3,4,8,17,8,4,4,16,2,8,5,4,10,1,0,3,9,4,2,7,7,4,2,4,5,0,2,2,4,13,0,4,2,11,6,4,0,2,1,4,1,2,1,2,3,4,3,5,2,2,2,6
27,19,31,128,147,29,51,62,61,49,44,18,124,10,39,46,38,32,21,9,30,50,42,64,57,34,27,11,31,35,16,21,14,6,16,15,32,26,29,23,23,15,13,19,28,15,28,23,24,10,28,11,16,10,10,5,6
27,15,42,148,140,41,49,69,45,47,80,22,136,13,38,35,38,49,18,12,31,60,57,60,54,32,26,20,26,29,19,18,36,18,16,19,34,34,54,16,16,26,16,15,20,15,32,18,9,13,16,8,17,11,17,21,6
7,11,29,96,92,18,31,42,49,13,40,28,104,10,27,24,25,21,28,11,15,32,37,28,31,19,34,16,18,17,4,4,17,9,16,8,8,6,30,12,12,2,8,21,10,5,8,12,12,20,8,4,8,10,12,9,6
3,4,6,15,20,3,12,10,19,12,9,8,13,7,10,8,11,11,1,2,6,12,7,4,8,5,8,9,5,7,7,0,1,9,2,2,4,12,10,6,10,8,1,4,5,6,20,14,0,4,2,2,1,3,2,1,6
4,6,15,42,44,17,18,34,16,9,25,12,38,17,14,19,11,14,16,5,10,32,23,15,15,18,13,8,16,8,7,5,11,17,0,1,12,14,6,2,20,16,9,4,25,2,9,11,0,7,4,1,4,2,10,5,6
4,5,12,52,57,7,16,18,16,14,13,4,51,7,14,14,11,22,17,11,10,13,21,21,25,13,18,10,7,12,11,6,9,10,3,7,14,8,15,8,6,16,5,12,8,6,16,10,4,5,14,2,6,5,5,12,5
23,20,71,196,230,28,59,117,123,71,102,49,195,23,69,72,67,72,18,21,42,106,120,127,71,55,50,33,49,40,19,22,36,44,38,30,29,28,49,24,51,11,34,22,28,11,33,33,33,23,28,22,41,24,32,28,5
6,1,23,56,64,9,22,18,14,9,12,4,46,16,15,21,22,23,13,1,10,16,10,10,9,8,14,9,9,18,6,7,5,12,1,12,12,8,5,10,14,10,13,4,6,1,16,6,0,2,7,3,12,3,1,5,5
43,13,106,261,237,29,44,73,124,74,110,38,205,28,70,46,90,32,30,19,26,69,97,104,95,145,77,61,60,70,24,39,37,38,29,45,29,47,71,47,57,38,85,34,33,15,104,60,23,25,26,31,36,26,29,39,5
4,7,5,24,22,5,4,13,24,11,11,5,29,4,8,8,6,6,7,3,6,10,7,10,20,6,6,5,2,4,4,2,4,5,9,4,3,10,13,3,8,2,3,3,4,2,9,5,14,2,4,4,6,3,1,2,5
15,13,20,85,90,31,19,22,38,27,18,18,75,6,21,35,29,15,12,7,15,33,26,27,23,13,31,7,15,11,18,8,7,12,15,11,17,11,12,15,13,1,15,8,8,4,11,18,9,14,11,7,16,3,5,6,5
12,39,82,190,185,60,69,88,123,75,100,64,213,37,73,42,73,63,35,20,38,76,87,82,87,51,78,57,59,32,29,21,43,25,38,17,16,36,50,13,39,1,29,41,17,16,32,39,29,32,22,12,24,20,27,35,5
21,12,34,133,120,49,36,69,98,35,46,31,159,21,44,42,47,27,25,11,20,78,61,61,61,47,46,37,34,29,13,26,28,20,23,12,22,20,35,20,34,2,30,26,17,22,15,39,14,14,19,9,24,18,25,22,5
15,15,36,82,116,23,30,59,53,45,36,17,112,24,40,26,28,33,18,13,13,53,31,37,54,37,39,12,42,19,24,15,29,24,10,12,29,23,23,12,25,22,45,12,24,18,19,19,11,6,12,31,5,11,11,17,5
5,5,9,33,39,11,23,21,27,15,15,11,37,10,9,16,12,13,16,6,6,18,20,19,23,14,9,10,22,7,8,2,11,7,11,3,9,6,7,10,11,2,5,8,6,7,4,6,4,5,5,10,4,4,2,14,5
3,5,17,42,42,9,10,12,14,12,22,7,37,9,24,12,15,4,3,2,5,18,19,29,13,17,17,13,14,14,2,1,2,3,13,2,7,12,13,4,8,2,10,18,2,5,6,3,16,10,3,4,7,8,1,5,5
16,2,14,51,61,8,15,32,24,17,21,9,55,6,10,13,9,9,5,1,9,27,17,24,23,10,5,8,6,14,8,8,12,3,10,4,10,9,14,9,8,3,9,9,9,8,10,11,6,6,2,5,1,7,3,6,5
8,2,20,44,55,7,30,17,33,13,22,6,49,14,16,32,14,33,26,5,9,16,27,24,15,26,15,10,9,8,8,0,4,8,18,5,10,9,19,15,13,5,13,2,6,9,6,7,14,11,14,0,11,5,6,8,5
9,6,20,14,40,9,9,10,23,14,11,8,30,4,12,9,22,5,11,1,5,11,10,17,20,6,8,3,5,9,7,9,17,3,7,2,13,4,16,3,10,2,12,2,7,5,2,8,1,2,1,3,5,3,4,4,5
5,10,19,57,46,25,20,14,36,20,35,15,41,13,25,12,29,16,17,6,8,20,26,21,29,18,22,16,29,13,10,3,12,16,12,5,12,21,24,3,17,6,11,6,10,15,14,16,10,10,8,41,14,4,9,6,5
6,11,18,35,35,9,8,15,17,10,14,5,34,5,13,13,9,6,2,7,6,17,15,15,9,6,14,1,14,7,3,1,6,8,7,2,7,8,20,8,3,2,7,10,4,3,6,2,4,2,1,2,4,7,4,3,5
9,26,36,77,90,62,68,62,45,28,48,14,78,7,23,28,42,70,49,8,10,65,54,46,52,18,22,17,25,14,26,17,39,15,2,17,25,30,26,10,35,30,20,18,53,10,23,24,1,22,10,22,11,6,20,12,5
21,13,30,124,118,17,23,84,39,32,69,15,113,13,22,30,29,14,14,15,23,67,90,102,35,30,22,17,34,16,23,27,20,19,6,11,35,36,25,26,18,46,19,12,31,20,29,14,8,19,23,16,13,10,12,12,5
7,3,15,34,50,14,16,9,28,6,14,13,25,7,12,8,12,7,9,2,2,8,15,14,19,25,13,3,13,8,8,4,10,5,11,7,3,8,15,3,14,0,7,11,2,4,6,9,4,13,6,10,7,2,9,8,5
24,16,55,166,164,49,85,77,57,47,96,53,167,31,55,50,50,54,57,15,34,86,89,71,76,27,49,37,39,32,26,12,38,29,39,15,25,25,57,33,24,6,27,30,25,15,16,22,30,18,12,8,18,12,16,14,5
14,3,10,75,69,19,15,27,41,10,29,17,52,6,35,24,19,5,9,5,12,27,27,20,28,22,34,6,29,14,20,6,8,14,26,6,19,9,23,16,26,2,13,11,11,4,10,16,14,11,10,6,10,5,5,14,5
8,3,15,46,47,6,22,20,27,17,17,5,44,10,7,11,12,15,3,6,10,16,11,26,16,10,11,3,5,7,7,7,3,13,7,2,9,10,11,9,5,1,11,4,10,4,1,5,5,6,7,8,6,7,6,11,5
7,6,13,43,44,8,12,22,22,11,16,9,45,3,7,13,10,10,11,5,9,23,21,14,15,7,10,2,5,11,3,0,13,4,5,9,2,8,5,11,5,4,7,4,4,4,10,6,3,4,6,3,4,4,3,7,5
41,11,125,293,376,48,68,116,179,82,162,68,322,48,98,81,145,47,27,29,55,122,143,149,109,80,107,26,58,47,57,41,48,59,68,43,64,66,97,39,69,19,59,52,73,26,27,60,58,31,50,40,55,32,40,48,5
17,12,28,68,76,19,17,39,89,28,40,25,102,17,53,39,36,16,15,8,9,44,37,44,33,32,49,10,27,11,20,5,17,13,21,20,20,15,47,17,25,1,26,16,15,10,31,23,25,15,11,9,23,5,11,14,5
27,15,55,127,169,30,51,77,95,62,73,26,143,28,51,37,39,27,19,23,28,56,116,97,88,32,31,8,46,65,38,43,38,27,18,16,52,54,48,14,38,25,22,30,37,32,57,43,18,20,6,13,31,11,20,13,5
15,11,27,83,89,16,37,28,45,30,34,20,77,12,26,24,18,34,29,5,10,30,47,46,38,20,21,24,13,14,13,7,18,14,15,7,13,13,23,15,11,9,26,14,8,7,11,11,9,9,8,4,11,13,13,19,5
13,18,25,125,129,52,71,63,58,26,56,42,122,17,42,52,44,35,33,12,23,64,60,68,52,33,31,15,25,36,21,23,42,20,9,12,24,32,22,18,31,6,21,11,14,10,16,32,19,13,13,18,11,14,10,21,5
37,32,78,201,211,71,56,78,127,45,100,62,211,26,67,69,81,60,34,21,37,84,156,161,74,57,74,37,64,49,37,21,62,37,33,16,60,39,43,38,59,27,31,38,43,15,38,35,24,32,34,18,43,23,26,22,5
8,12,37,68,80,25,23,32,50,14,37,13,75,21,32,27,51,16,25,4,8,31,41,33,44,27,34,44,34,29,14,13,16,15,12,6,14,31,16,16,23,12,20,15,11,10,17,27,6,8,4,7,14,8,8,18,5
18,7,60,175,206,23,25,59,57,58,83,35,194,21,42,45,73,27,10,12,24,82,80,76,67,31,69,16,27,79,26,21,9,19,20,16,41,35,29,19,47,19,25,23,20,9,25,26,4,22,18,14,42,14,22,12,5
2,3,9,32,40,9,6,19,19,13,11,3,41,7,8,17,12,10,4,4,7,17,11,25,13,3,12,7,8,14,7,6,6,4,3,1,6,8,9,5,7,10,4,3,0,3,6,9,4,5,3,2,4,3,3,2,5
7,13,22,56,69,17,33,37,44,12,17,9,65,11,20,26,20,30,26,8,17,30,17,21,33,8,18,14,23,25,17,13,16,12,1,4,20,20,18,12,19,9,11,9,22,16,23,10,2,4,4,6,14,4,11,17,5
10,7,26,80,106,12,25,39,51,20,31,14,80,16,29,34,37,11,11,4,10,34,28,36,17,24,25,10,26,16,11,13,22,10,15,10,10,13,23,10,28,3,11,16,8,5,12,9,19,11,9,9,17,9,8,13,5
8,12,19,54,81,14,29,33,24,16,34,12,59,6,13,21,22,24,14,3,7,46,18,19,24,12,19,15,22,11,37,13,20,8,1,6,12,16,9,8,17,12,17,4,29,8,16,48,2,4,10,12,18,4,15,3,5
0,0,1,9,5,2,7,5,2,4,6,4,7,3,0,1,1,3,2,0,0,3,9,5,2,3,3,8,8,4,1,0,0,3,0,0,2,1,1,1,0,0,0,1,3,0,2,0,0,6,0,0,0,1,0,3,5
16,27,45,96,144,40,52,72,83,64,64,31,96,29,48,32,44,42,36,27,32,63,64,58,74,35,40,22,64,39,33,34,37,36,15,9,34,43,29,7,34,38,31,28,34,23,36,32,11,14,11,24,20,11,14,16,5
16,7,20,106,107,8,22,37,52,35,47,25,77,11,48,36,26,26,1,12,22,30,36,40,43,28,35,4,20,7,11,7,39,17,41,10,19,12,35,14,21,4,19,11,12,5,5,17,26,12,18,6,19,10,9,11,5
16,15,38,131,148,44,137,60,45,36,54,25,139,19,51,90,57,132,77,7,29,67,44,44,62,33,46,27,52,33,38,28,42,18,7,15,36,43,22,20,36,50,16,16,32,19,71,24,7,16,20,39,20,12,34,15,5
19,15,45,80,87,22,9,42,48,56,43,7,99,14,20,15,49,19,11,14,31,57,38,51,43,45,16,8,17,31,12,11,10,14,27,2,20,18,40,27,28,37,43,9,11,9,30,14,16,12,22,21,16,2,10,17,5
